id,technology,tech_group,is_display
272,.NET,.NET,1
289,.NET CORE,.NET,1
702,.net core,.NET,1
873,VB.NET,.NET,1
1213,.NET Framework,.NET,1
1717,entity framework,.NET,1
2094,ADO.NET,.NET,1
2159,Framework,.NET,1
2467,ORM-EntityFramework,.NET,1
2481,Framework 4.0,.NET,1
2482,Framework 4.5.2,.NET,1
2483,.Net core 2.0,.NET,1
2484,LINQ,.NET,1
2485,Winform,.NET,1
2495,.NET framework,.NET,1
2512,Framework 7,.NET,1
3025,3DS MAX,3DS Max,1
3144,3DS Max,3DS Max,1
268,Tests A/B,A/B Testing,1
2990,A/B testing,A/B Testing,1
3044,AB Test,A/B Testing,1
3472,Ab Testing,A/B Testing,1
612,AB Tasty,AB Tasty,1
3024,Ableton Live,Ableton Live,1
20,Accessibilité,Accessibilité,1
27,RGAA,Accessibilité,1
816,Accessibilité web,Accessibilité,1
2346,accessibilité,Accessibilité,1
2528,accessibilité web,Accessibilité,1
311,ActionScript,ActionScript,1
1185,ActiveCampaign,ActiveCampaign,1
2522,ActiveMQ,ActiveMQ,1
2425,Adalo,Adalo,1
180,Adminer,Adminer,1
919,Administration réseaux,Administration réseaux,1
927,LAN,Administration réseaux,1
928,WAN,Administration réseaux,1
929,802.1Q,Administration réseaux,1
930,802.1X,Administration réseaux,1
931,wifi,Administration réseaux,1
1314,Silex,Administration réseaux,1
1362,Sysadmin et gestion réseaux télécom,Administration réseaux,1
1612,Administration rÃ©seaux,Administration réseaux,1
1664,réseau,Administration réseaux,1
1704,Switching routing,Administration réseaux,1
1787,Wireshark,Administration réseaux,1
1794,Network,Administration réseaux,1
1822,Réseau,Administration réseaux,1
1865,Networking,Administration réseaux,1
1945,network,Administration réseaux,1
2299,Administration réseau,Administration réseaux,1
2350,réseaux,Administration réseaux,1
2694,Wireless Networking,Administration réseaux,1
2695,Network Architecture,Administration réseaux,1
2697,Sans fil,Administration réseaux,1
2702,Wireless,Administration réseaux,1
2860,Opérations réseaux informatiques,Administration réseaux,1
3116,Conception de réseaux,Administration réseaux,1
621,base de donnée,Administration SGBD,1
1004,Conception bases de données,Administration SGBD,1
1062,Database administration,Administration SGBD,1
2308,CRUD,Administration SGBD,1
2588,Administration de bases de données,Administration SGBD,1
315,Administration système,Administration Système,1
924,Active Directory,Administration Système,1
1629,Administration systÃ¨me,Administration système,1
1640,Administrateur systèmes,Administration système,1
1870,active directory,Administration système,1
1923,sysops,Administration système,1
183,Adobe After Effects,Adobe,1
3524,adobe after,Adobe,1
2905,After Effects,Adobe,1
517,Adobe Animate,Adobe,1
1559,animate,Adobe,1
676,Bridge,Adobe,1
2595,Adobe bridge,Adobe,1
1249,Adobe Campaign,Adobe,1
2722,Adobe Character Animator,Adobe,1
364,Adobe Creative Suite,Adobe,1
2861,adobe creative suite,Adobe,1
3001,adobe,Adobe,1
3130,Affinity,Adobe,1
3291,Adobe XD/Illustrator/PhotoShop,Adobe,1
3545,suite adobe creative,Adobe,1
3205,Adobe dimension,Adobe,1
440,Adobe Dreamweaver,Adobe,1
905,Dreamweaver,Adobe,1
312,Adobe Flash,Adobe,1
3522,Flash,Adobe,1
156,Adobe InDesign,Adobe,1
1101,InDesign,Adobe,1
2970,adobe indesign,Adobe,1
3036,indesign,Adobe,1
3271,Adobe Indesign,Adobe,1
157,Adobe Lightroom,Adobe,1
2906,Lightroom,Adobe,1
2862,Adobe Muse,Adobe,1
7,Phonegap,Adobe,1
1368,Adobe PhoneGap,Adobe,1
365,Adobe Premiere,Adobe,1
3364,Adobe Premiere Pro,Adobe,1
38,Adobe Illustrator,Adobe Illustrator,1
587,illsutrator,Adobe Illustrator,1
1102,Illustrator,Adobe Illustrator,1
3188,"Audiovisual Creation (Final Cut Pro, Logic Pro, Illustrator, etc.)",Adobe Illustrator,1
3360,adobe illustrator,Adobe Illustrator,1
98,Adobe Photoshop,Adobe Photoshop,1
607,Photoshop CC,Adobe Photoshop,1
626,Photoshop,Adobe Photoshop,1
2603,psd,Adobe Photoshop,1
2902,Édition d’image,Adobe Photoshop,1
3390,adobe photoshop,Adobe Photoshop,1
3599,Formation Photoshop,Adobe Photoshop,1
155,Adobe XD,Adobe XD,1
1494,adobe XD,Adobe XD,1
2797,adobe xd,Adobe XD,1
3007,adobe XD CC,Adobe XD,1
3108,xd,Adobe XD,1
3113,Adobe Xd,Adobe XD,1
3340,adobe Xd,Adobe XD,1
3382,Adobe XD CC,Adobe XD,1
3433,Xd,Adobe XD,1
3500,XD CC,Adobe XD,1
1654,AEM,AEM,1
1656,AEM 6.X,AEM,1
2123,affinity designer,Affinity,1
2755,Affinity Designer,Affinity,1
2131,affinity photo,Affinity,1
2757,Affinity Photo,Affinity,1
1472,intelligence artificielle,AI/ML,1
2031,Intelligence artificielle,AI/ML,1
3226,Airtable,Airtable,1
103,Ajax,Ajax,1
627,AJAX,Ajax,1
2313,ajax,Ajax,1
1275,Akeneo,Akeneo PIM,1
1276,PIM,Akeneo PIM,1
2135,Algolia,Algolia,1
2290,algolia,Algolia,1
3,algorithmie,Algorithmie,1
1164,mathématiques,Algorithmie,1
1743,Mathematics,Algorithmie,1
1826,Algorithms,Algorithmie,1
2472,Algorithmes,Algorithmie,1
3784,Mathématiques,Algorithmie,1
1480,Alpine,Alpine.js,1
68,Amazon Web Services,Amazon Web Services,1
519,Amazon DynamoDB,Amazon Web Services,1
915,AWS,Amazon Web Services,1
944,AWS Lambda,Amazon Web Services,1
946,AWS IOT,Amazon Web Services,1
1198,AWS Fargate,Amazon Web Services,1
1412,Amazon Web Services (AWS),Amazon Web Services,1
1595,Web Services,Amazon Web Services,1
1597,Amazon RDS,Amazon Web Services,1
1598,AWS EC2,Amazon Web Services,1
1599,AWS Glue,Amazon Web Services,1
1600,AWS LAMBDA,Amazon Web Services,1
1934,Amazon Redshift,Amazon Web Services,1
1935,Lambda,Amazon Web Services,1
1936,ECS,Amazon Web Services,1
1937,RTB,Amazon Web Services,1
1938,IAC,Amazon Web Services,1
1943,awx,Amazon Web Services,1
1961,AWS ECS,Amazon Web Services,1
1963,AWS S3,Amazon Web Services,1
1984,Amazon SNS,Amazon Web Services,1
1985,Amazon Cognito,Amazon Web Services,1
1986,Amazon API Gateway,Amazon Web Services,1
1987,Amazon Lambda,Amazon Web Services,1
1988,Amazon CodePipeline,Amazon Web Services,1
1989,Amazon CodeBuild,Amazon Web Services,1
1990,Amazon CodeDeploy,Amazon Web Services,1
1991,Amazon Cloudformation,Amazon Web Services,1
1992,Amazon SAM,Amazon Web Services,1
2023,Aws,Amazon Web Services,1
2038,AWS Cloudformation,Amazon Web Services,1
2039,AWS Cloudfront,Amazon Web Services,1
2040,AWS Elastic Beanstalk,Amazon Web Services,1
2041,AWS IAM,Amazon Web Services,1
2042,AWS Elastic Container Services,Amazon Web Services,1
2043,AWS ACM,Amazon Web Services,1
2173,Beanstalk,Amazon Web Services,1
2183,Amazon Account Management,Amazon Web Services,1
2184,Amazon Aurora,Amazon Web Services,1
2185,Amazon EC2,Amazon Web Services,1
2186,Amazon Network,Amazon Web Services,1
2202,EC2,Amazon Web Services,1
2360,Amazon S3,Amazon Web Services,1
2415,Architecture AWS,Amazon Web Services,1
2660,AWS CloudFront,Amazon Web Services,1
3203,Redshift,Amazon Web Services,1
3729,amazon web services,Amazon Web Services,1
1770,ambari,Ambari,1
448,Android,Android,1
738,Kotlin,Android,1
901,Développement pour Android,Android,1
1183,androi,Android,1
1562,Android SDK,Android,1
1692,Android Studio,Android,1
1994,UIAutomator,Android,1
2247,Coroutines,Android,1
2322,Android Development,Android,1
2793,Développement Android,Android,1
3445,android,Android,1
213,Développeur Angular,Angular,1
214,Angular,Angular,1
593,Angular 2,Angular,1
830,Angular Universal,Angular,1
831,Angular Material,Angular,1
1261,Angular material,Angular,1
1726,angular,Angular,1
2191,Angular 2+,Angular,1
2448,Angular 4,Angular,1
2625,NgRx,Angular,1
46,AngularJS,AngularJS,1
891,angularjs,AngularJS,1
182,Animation,Animation 2D,1
2347,Löve2d,Animation 2D,1
3363,Animation 2D,Animation 2D,1
3624,animation,Animation 2D,1
2253,Animation 3D,Animation 3D,1
540,Flash Animation,Animation Flash,1
2718,Anime.js,Anime.js,1
307,Ansible,Ansible,1
1668,ansible,Ansible,1
228,AntDesign,AntDesign,1
2461,ant design,AntDesign,1
2653,AOS,AOS,1
392,Apache,Apache,1
2401,Airflow,Apache Airflow,1
12,Cordova,Apache Cordova,1
647,Apache Cordova,Apache Cordova,1
2403,Apache Druid,Apache Druid,1
2037,Apache Flume,Apache Flume,1
1715,Hadoop,Apache Hadoop,1
2283,Hive,Apache Hive,1
2035,Apache JMeter,Apache JMeter,1
995,Apache Kafka,Apache Kafka,1
1970,Netbeans,Apache NetBeans,1
1735,Apache Parquet,Apache Parquet,1
2371,Apache POI,Apache POI,1
283,Solr,Apache Solr,1
818,Apache Solr,Apache Solr,1
2428,solr,Apache Solr,1
945,Spark,Apache Spark,1
2382,Apache Spark,Apache Spark,1
2402,Apache Spark MLlib,Apache Spark,1
3515,Spark AR Studio,Apache Spark,1
2118,Apache struts,Apache Struts,1
464,Subversion,Apache Subversion,1
1197,Apache subversion,Apache Subversion,1
1366,svn,Apache Subversion,1
1625,subversion,Apache Subversion,1
2499,SVN,Apache Subversion,1
1766,Apache Tomcat,Apache Tomcat,1
2520,APEX,APEX,1
43,API,API,1
285,Web API,API,1
334,Strapi,API,1
394,Api rest stateless,API,1
561,api,API,1
828,API Platform,API,1
1092,opendata,API,1
1207,APIs,API,1
1272,ApiPlatform,API,1
1360,Application Programming Interfaces,API,1
1475,Api plateforme,API,1
1511,API PLATFORM,API,1
1647,Api Platform,API,1
1653,api platform,API,1
1889,Api Management,API,1
2095,APIREST,API,1
2140,Twitter API,API,1
2189,twitch api,API,1
2229,Développement d’API,API,1
2301,Api Plateform,API,1
2316,api maps v3,API,1
2533,Composition API,API,1
3698,RESTful API,API,1
3762,Api Plateforme,API,1
3763,OpenAPI,API,1
3775,API Rest,API,1
1273,Apigility,Apigility,1
65,GraphQL,Apollo GraphQL,1
585,graphQl,Apollo GraphQL,1
1047,graphql,Apollo GraphQL,1
1162,ApolloJS,Apollo GraphQL,1
2055,apollo,Apollo GraphQL,1
2133,Graphql,Apollo GraphQL,1
2242,graphQL,Apollo GraphQL,1
2293,Apollo GraphQL,Apollo GraphQL,1
2627,Appolo,Apollo GraphQL,1
2788,GraphQl,Apollo GraphQL,1
176,Apollo-Server,Apollo Server,1
446,Apollo,Apollo Server,1
173,web app,Application Web,1
195,application web,Application Web,1
638,Site web adaptatif,Application Web,1
857,Web Applications,Application Web,1
959,Application Web,Application Web,1
1184,Animation Web,Application Web,1
1334,Applications web,Application Web,1
1346,Développement d’applications Web,Application Web,1
1347,Conception d’applications web,Application Web,1
1658,Web services,Application Web,1
1687,Web Service,Application Web,1
2383,Application web,Application Web,1
2387,Webapp,Application Web,1
2659,applications web,Application Web,1
2939,Web App,Application Web,1
3232,WebApp,Application Web,1
3423,appli,Application Web,1
3446,saas,Application Web,1
3556,application client,Application Web,1
3563,App,Application Web,1
3666,audit application,Application Web,1
3740,Développement d’applications web,Application Web,1
3769,Création d'applications,Application Web,1
3362,Architecture 3D,Architecture 3D,1
1797,ArgoCD,ArgoCD,1
1815,Argo CD,ArgoCD,1
1709,Artifactory,Artifactory,1
1942,artifactory,Artifactory,1
2915,asana,Asana,1
1371,ASM,ASM,1
274,ASP.NET MVC,ASP.NET,1
276,ASP.NET,ASP.NET,1
700,ASP.NET Core,ASP.NET,1
701,Blazor,ASP.NET,1
1210,ASP.NET AJAX,ASP.NET,1
2053,ASP Core,ASP.NET,1
2465,ASP.NET CORE MVC,ASP.NET,1
1722,Assembleur,Assembleur,1
792,Asterisk,Asterisk,1
1946,asterisk,Asterisk,1
663,Atom,Atom,1
1622,IDE Atom,Atom,1
144,Atomic Design,Atomic Design,1
2914,atomic design,Atomic Design,1
2725,Audacity,Audacity,1
3300,Autocad,AutoCAD,1
2507,Autodesk Fusion 360,Autodesk,1
3204,Inventor,Autodesk,1
1581,gradle,Automation,1
1838,Automatisation des tests,Automation,1
1879,Automatisation,Automation,1
1933,Kinesys,Automation,1
2635,Développeur Automatisation,Automation,1
2688,Automation,Automation,1
2691,Automate programmable,Automation,1
2693,Automatisation des processus,Automation,1
2704,Process Automation,Automation,1
2909,Avocode,Avocode,1
1029,Axios,Axios,1
1075,Axure,Axure RP,1
2011,SQL Azure,Azure SQL Database,1
983,babel,Babel JS,1
1663,Babel,Babel JS,1
2559,Babylon.js,Babylon.js,1
47,Backbone.js,Backbone.js,1
1076,Balsamiq,Balsamiq,1
662,Bash,Bash,1
1749,bash,Bash,1
1040,Bazel,Bazel,1
2205,BeautifulSoup,BeautifulSoup,1
146,BEM,BEM/OOCSS,1
1039,Bitbucket,Bitbucket,1
1924,bitbucket pipelines,Bitbucket,1
1927,bitbucket,Bitbucket,1
2045,Bitbucket Pipeline,Bitbucket,1
350,Blender,Blender,1
3511,blender,Blender,1
716,Solidity,Blockchain/Crypto,1
718,Blockchain,Blockchain/Crypto,1
720,ethereum,Blockchain/Crypto,1
820,Crypto,Blockchain/Crypto,1
821,Bitcoin,Blockchain/Crypto,1
822,Sylius,Blockchain/Crypto,1
823,NFT,Blockchain/Crypto,1
1094,netart,Blockchain/Crypto,1
1194,BPMN,Blockchain/Crypto,1
1556,Ethereum,Blockchain/Crypto,1
1557,Expertise Blockchain,Blockchain/Crypto,1
1885,Smart Contract,Blockchain/Crypto,1
81,Bootstrap,Bootstrap,1
153,Bootstrap 3,Bootstrap,1
202,bootstrap,Bootstrap,1
270,Bootstrap 4,Bootstrap,1
643,Twitter Bootstrap,Bootstrap,1
1032,React-Bootstrap,Bootstrap,1
1399,Booststrap 4,Bootstrap,1
2256,bootstrap 3,Bootstrap,1
2782,Bootstrap 4 & 5,Bootstrap,1
92,Bower,Bower,1
382,Branding,Branding,1
404,Brand content,Branding,1
2922,branding,Branding,1
2946,Corporate Identity Guideline,Branding,1
2968,identité visuelle,Branding,1
3032,creation de marque,Branding,1
3052,Création d'identité visuelle,Branding,1
3081,enseigne,Branding,1
3096,brand,Branding,1
3272,Brand design,Branding,1
3278,Branding & Identity,Branding,1
3282,Conception d’identité visuelle,Branding,1
3283,Image de marque,Branding,1
3374,brand identity,Branding,1
3420,Brand Reputation,Branding,1
3543,Marque et identité,Branding,1
3544,Architecture de marque,Branding,1
3557,identité d’espace,Branding,1
3564,brand design,Branding,1
3584,Visual Identity,Branding,1
3612,Identité d’entreprise,Branding,1
3614,Marque d’entreprise,Branding,1
3633,identité d'entreprise,Branding,1
3657,personal branding,Branding,1
3662,Stratégie de marque,Branding,1
1280,Brightcove,Brightcove,1
2198,Bubble.io,Bubble.io,1
3727,bubble.io,Bubble.io,1
2527,BIM,Building Information Modeling,1
3737,bulma,Bulma,1
322,Mise en page,Bureautique,1
592,Microsoft Powerpoint,Bureautique,1
864,Microsoft Office,Bureautique,1
894,Office 365,Bureautique,1
899,Microsoft Project,Bureautique,1
906,Microsoft Word,Bureautique,1
908,Microsoft Excel,Bureautique,1
909,Microsoft Outlook,Bureautique,1
921,Microsoft Exchange,Bureautique,1
1852,Microsoft Sharepoint,Bureautique,1
2455,Back office,Bureautique,1
2770,Bureautique,Bureautique,1
2975,mise en page,Bureautique,1
3641,Mise au format,Bureautique,1
3713,Pack Office,Bureautique,1
3725,Saisie de données,Bureautique,1
859,Google,Bureautique,1
911,Google Docs,Bureautique,1
1674,Google Spreadsheets API,Bureautique,1
2315,Google Sheets,Bureautique,1
2779,google suite,Bureautique,1
2863,Google Drive,Bureautique,1
483,Business intelligence,Business Intelligence,1
975,Informatique Décisionnelle,Business Intelligence,1
1501,Dashboard,Business Intelligence,1
1771,Informatique décisionnelle,Business Intelligence,1
1999,SSRS,Business Intelligence,1
2007,Crystal Reports,Business Intelligence,1
2008,Business Intelligence,Business Intelligence,1
2578,dashboard,Business Intelligence,1
2680,Reporting;Création de rapports,Business Intelligence,1
2810,rapport annuel,Business Intelligence,1
3577,Rapport d'activité,Business Intelligence,1
3642,Rapport annuel,Business Intelligence,1
337,C,C / C++,1
708,C++,C / C++,1
1044,Parsing de données JS C/C++,C / C++,1
1104,C / C++,C / C++,1
1416,c++,C / C++,1
1417,c,C / C++,1
1707,C (langage de programmation),C / C++,1
1721,Boost,C / C++,1
1975,emscripten,C / C++,1
2215,C (Programming Language),C / C++,1
2589,Langage C,C / C++,1
3184,"Programming Paradigms (in C++, Java, C#)",C / C++,1
3185,"Algorithmic (C, Python, JavaScript)",C / C++,1
271,C#,C#,1
1071,c#,C#,1
52,Caching,Caching,1
1702,caddy,Caddy,1
216,cakePHP,CakePHP,1
2197,CakePHP,CakePHP,1
1586,Camunda,Camunda,1
1809,camunda,Camunda,1
609,Canvas,Canva,1
2856,Canva,Canva,1
3198,CAO,CAO,1
1398,Capacitor,Capacitor,1
3746,Capella,Capella,1
2427,capybara,Capybara,1
284,Cassandra,Cassandra,1
3749,CATIA V5,CATIA,1
475,CEH,CEH,1
936,centreon,Centreon,1
1911,Ceph,Ceph,1
957,CesiumJS,CesiumJS,1
1049,Chakra UI,Chakra UI,1
2530,chart.js,Chart.js,1
175,Chatbot,Chatbots,1
706,Bot,Chatbots,1
801,Rasa,Chatbots,1
3682,Chabots,Chatbots,1
1858,Chef,Chef,1
221,CI,CI/CD,1
709,ci/cd,CI/CD,1
968,Déployement,CI/CD,1
988,Rollup,CI/CD,1
1007,Amélioration des processus,CI/CD,1
1008,Amélioration continue,CI/CD,1
1055,Déploiement,CI/CD,1
1128,CI/CD,CI/CD,1
1131,Distribution continues,CI/CD,1
1242,Codeship,CI/CD,1
1587,IntÃ©gration continue,CI/CD,1
1762,Continuous Improvement,CI/CD,1
1806,Déploiement Continu,CI/CD,1
1819,CI-CD,CI/CD,1
1860,Gitlab CI/CD,CI/CD,1
1903,System Deployment,CI/CD,1
1976,Déploiement continue,CI/CD,1
2028,Déploiement continu,CI/CD,1
2359,CI / CD,CI/CD,1
2436,Contrôle de version,CI/CD,1
3244,roll-up,CI/CD,1
2017,Intégration,CI/CD,1
2608,intégration contenu,CI/CD,1
559,intégration continue,CI/CD,1
129,Intégration continue,CI/CD,1
2433,Intégration continue et livraison continue (CI/CD),CI/CD,1
3128,Cinema 4D,Cinema 4D,1
3342,C4D,Cinema 4D,1
1243,Circle CI,Circle CI,1
1960,CircleCI,CircleCI,1
1424,Cisco,Cisco,1
1864,Cisco IOS,Cisco,1
1867,cisco,Cisco,1
2020,Cisco Technologies,Cisco,1
1898,Citrix,Citrix,1
287,Clean Code,Clean Code,1
1143,clean architecture,Clean Code,1
1573,CleanCode,Clean Code,1
2539,Clean architecture,Clean Code,1
58,SAAS,Cloud,1
480,Serverless,Cloud,1
521,Cloud computing,Cloud,1
934,radius,Cloud,1
953,Cloud Engineer,Cloud,1
1631,Haute disponibilité,Cloud,1
1632,Cloud native,Cloud,1
1641,Cloud Computing,Cloud,1
1814,Administration cloud,Cloud,1
1824,Cloud,Cloud,1
1913,Architecte Cloud,Cloud,1
1918,Migration Cloud,Cloud,1
1920,Architecture Cloud,Cloud,1
1922,Cloud Infrastructure,Cloud,1
2100,serverless,Cloud,1
2178,Cloud Solution Architect,Cloud,1
2243,Severless,Cloud,1
2367,cloud native,Cloud,1
1928,Pivotal Cloud Foundry,Cloud Foundry,1
2381,Cloudera,Cloudera,1
847,Cloudflare,Cloudflare,1
782,Cloudinary,Cloudinary,1
2024,CloudOps,CloudOps,1
138,Développement CMS,CMS,1
229,CMS,CMS,1
389,Craft CMS,CMS,1
467,Systèmes de gestion de contenu (CMS),CMS,1
849,prismic,CMS,1
881,NetlifyCMS,CMS,1
1070,cms,CMS,1
1268,October CMS,CMS,1
1313,développement CMS,CMS,1
1527,TYPO3,CMS,1
2345,processwire,CMS,1
2450,Wagtail,CMS,1
2451,Wagtail CMS,CMS,1
2763,netlifycms,CMS,1
2765,datoCMS,CMS,1
575,Coaching,Coaching,1
584,Coaching individuel,Coaching,1
1144,coach craft,Coaching,1
2956,Personal Trainer,Coaching,1
3078,atelier de développement,Coaching,1
3079,facilitation,Coaching,1
3660,Coaching de dirigeants,Coaching,1
3661,Coaching professionnel,Coaching,1
1635,COBOL,Cobol,1
783,Code Igniter,Code Igniter,1
784,Codeigniter,Code Igniter,1
236,CoffeeScript,CoffeeScript,1
23,Communication,Communication,1
24,Stratégie de communication,Communication,1
380,Communication digitale,Communication,1
381,Communication visuelle,Communication,1
397,Relations presse,Communication,1
1095,Stratégie éditoriale,Communication,1
1336,Communication marketing,Communication,1
2397,Communication interne,Communication,1
2720,Communication 360°,Communication,1
2820,Qualités relationnelles,Communication,1
2821,Sens de la communication,Communication,1
2826,Communication print,Communication,1
2836,communication digitale,Communication,1
2882,Relations publiques,Communication,1
3051,communication,Communication,1
3083,Dossier de presse,Communication,1
3123,Qualité relationnelle,Communication,1
3124,sens de la communication,Communication,1
3252,Digital communication,Communication,1
3273,Communication RS,Communication,1
3294,support de communication,Communication,1
3380,brochure,Communication,1
3533,Communication 360,Communication,1
3566,Communication print & web,Communication,1
2801,Objets publicitaires,Communication (Goodies),1
321,Edition,Communication (Print),1
323,Analyse du brief,Communication (Print),1
324,Suivi de fabrication,Communication (Print),1
326,Carte de visite,Communication (Print),1
327,Packaging,Communication (Print),1
